,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.9212,2.6467292308807373,9.666666666666667e-05,0.15,100,,,,,,,,,,,,,,
1,,,,0.15,100,1.7667409181594849,0.2911,0.1196,0.2239,0.2237,29.0,30.2234,19.025,2.382,,,,,
2,1.9042,2.4377989768981934,9.333333333333334e-05,0.31,200,,,,,,,,,,,,,,
3,,,,0.31,200,1.7685215473175049,0.2917,0.1188,0.2225,0.2225,29.0,30.2662,18.998,2.379,,,,,
4,1.8949,2.8885698318481445,9e-05,0.46,300,,,,,,,,,,,,,,
5,,,,0.46,300,1.7613316774368286,0.2869,0.1172,0.2184,0.2182,29.0,30.2023,19.038,2.384,,,,,
6,1.8986,2.3297481536865234,8.666666666666667e-05,0.62,400,,,,,,,,,,,,,,
7,,,,0.62,400,1.7633596658706665,0.2902,0.1191,0.2234,0.2233,29.0,30.1041,19.1,2.392,,,,,
8,1.9401,2.121351480484009,8.333333333333334e-05,0.77,500,,,,,,,,,,,,,,
9,,,,0.77,500,1.7575435638427734,0.2912,0.1197,0.2235,0.2234,29.0,30.2167,19.029,2.383,,,,,
10,1.9053,2.142826795578003,8e-05,0.93,600,,,,,,,,,,,,,,
11,,,,0.93,600,1.7502466440200806,0.2866,0.1145,0.2186,0.2184,28.9861,30.1782,19.054,2.386,,,,,
12,1.8122,2.0882694721221924,7.666666666666667e-05,1.08,700,,,,,,,,,,,,,,
13,,,,1.08,700,1.7544593811035156,0.2858,0.1142,0.2194,0.2193,29.0,30.2377,19.016,2.381,,,,,
14,1.8047,2.1763603687286377,7.333333333333333e-05,1.24,800,,,,,,,,,,,,,,
15,,,,1.24,800,1.7492835521697998,0.2905,0.1175,0.2217,0.222,29.0,30.2785,18.99,2.378,,,,,
16,1.8556,2.3415305614471436,7e-05,1.39,900,,,,,,,,,,,,,,
17,,,,1.39,900,1.7480651140213013,0.2949,0.1218,0.2231,0.2231,28.9965,30.2437,19.012,2.381,,,,,
18,1.8471,2.410264015197754,6.666666666666667e-05,1.55,1000,,,,,,,,,,,,,,
19,,,,1.55,1000,1.749828577041626,0.2889,0.1165,0.2191,0.219,29.0,30.2608,19.001,2.379,,,,,
20,1.8419,1.8116511106491089,6.333333333333333e-05,1.7,1100,,,,,,,,,,,,,,
21,,,,1.7,1100,1.7388677597045898,0.29,0.1182,0.2204,0.2205,29.0,30.2314,19.02,2.382,,,,,
22,1.8529,2.01143217086792,6e-05,1.86,1200,,,,,,,,,,,,,,
23,,,,1.86,1200,1.7358989715576172,0.2854,0.1143,0.2183,0.2185,29.0,30.243,19.013,2.381,,,,,
24,1.8648,2.054452419281006,5.666666666666667e-05,2.01,1300,,,,,,,,,,,,,,
25,,,,2.01,1300,1.738627314567566,0.2916,0.1196,0.2227,0.2226,29.0,30.2393,19.015,2.381,,,,,
26,1.7846,2.3345937728881836,5.333333333333333e-05,2.17,1400,,,,,,,,,,,,,,
27,,,,2.17,1400,1.7416901588439941,0.2931,0.1208,0.2252,0.2252,29.0,30.3502,18.946,2.372,,,,,
28,1.7863,1.9771753549575806,5e-05,2.32,1500,,,,,,,,,,,,,,
29,,,,2.32,1500,1.7354028224945068,0.2959,0.1214,0.2234,0.2233,29.0,30.2734,18.994,2.378,,,,,
30,1.7606,1.8989068269729614,4.666666666666667e-05,2.48,1600,,,,,,,,,,,,,,
31,,,,2.48,1600,1.734060287475586,0.2925,0.1185,0.2213,0.2215,29.0,30.1718,19.058,2.386,,,,,
32,1.8136,2.891547203063965,4.3333333333333334e-05,2.63,1700,,,,,,,,,,,,,,
33,,,,2.63,1700,1.7368019819259644,0.287,0.1166,0.2194,0.2198,29.0,30.2489,19.009,2.38,,,,,
34,1.818,2.0842337608337402,4e-05,2.79,1800,,,,,,,,,,,,,,
35,,,,2.79,1800,1.73146390914917,0.2901,0.1181,0.2207,0.2209,29.0,30.2911,18.982,2.377,,,,,
36,1.824,2.145129442214966,3.6666666666666666e-05,2.94,1900,,,,,,,,,,,,,,
37,,,,2.94,1900,1.7328311204910278,0.2907,0.1195,0.2211,0.221,29.0,30.2415,19.014,2.381,,,,,
38,1.7571,2.4139018058776855,3.3333333333333335e-05,3.1,2000,,,,,,,,,,,,,,
39,,,,3.1,2000,1.7381579875946045,0.2912,0.1194,0.2201,0.2202,29.0,30.2741,18.993,2.378,,,,,
40,1.7658,2.668952226638794,3e-05,3.25,2100,,,,,,,,,,,,,,
41,,,,3.25,2100,1.7359448671340942,0.2932,0.1222,0.223,0.2231,29.0,30.4075,18.91,2.368,,,,,
42,1.7837,2.0694901943206787,2.6666666666666667e-05,3.41,2200,,,,,,,,,,,,,,
43,,,,3.41,2200,1.7334009408950806,0.2899,0.1176,0.2201,0.2203,29.0,30.2663,18.998,2.379,,,,,
44,1.7957,2.355501413345337,2.3333333333333336e-05,3.56,2300,,,,,,,,,,,,,,
45,,,,3.56,2300,1.7314722537994385,0.2909,0.1188,0.2222,0.2224,29.0,30.2431,19.013,2.381,,,,,
46,1.747,2.6135988235473633,2e-05,3.72,2400,,,,,,,,,,,,,,
47,,,,3.72,2400,1.7306071519851685,0.29,0.1177,0.2233,0.2234,29.0,30.3474,18.947,2.373,,,,,
48,1.7855,2.0326755046844482,1.6666666666666667e-05,3.87,2500,,,,,,,,,,,,,,
49,,,,3.87,2500,1.731412649154663,0.2911,0.1194,0.2226,0.2226,29.0,30.3031,18.975,2.376,,,,,
50,1.7645,2.3093864917755127,1.3333333333333333e-05,4.02,2600,,,,,,,,,,,,,,
51,,,,4.02,2600,1.732392430305481,0.2895,0.1191,0.2226,0.2227,29.0,30.3536,18.943,2.372,,,,,
52,1.7505,2.069821834564209,1e-05,4.18,2700,,,,,,,,,,,,,,
53,,,,4.18,2700,1.7296949625015259,0.2913,0.1199,0.224,0.2242,29.0,30.2605,19.002,2.379,,,,,
54,1.7361,2.2324001789093018,6.666666666666667e-06,4.33,2800,,,,,,,,,,,,,,
55,,,,4.33,2800,1.7293974161148071,0.2923,0.1211,0.2249,0.2249,29.0,30.252,19.007,2.38,,,,,
56,1.7696,1.9976404905319214,3.3333333333333333e-06,4.49,2900,,,,,,,,,,,,,,
57,,,,4.49,2900,1.72837233543396,0.2934,0.1215,0.2258,0.2257,29.0,30.3147,18.968,2.375,,,,,
58,1.7746,2.3257200717926025,0.0,4.64,3000,,,,,,,,,,,,,,
59,,,,4.64,3000,1.7284719944000244,0.2925,0.1219,0.2257,0.2255,29.0,30.2657,18.998,2.379,,,,,
60,,,,4.64,3000,,,,,,,,,,1463.485,16.399,2.05,6477126608093184.0,1.818699264526367
61,,,,4.64,3000,1.7284719944000244,0.2925,0.1219,0.2257,0.2255,29.0,30.5538,18.819,2.357,,,,,
